,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,297.3,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
4,Ushuaia,AR,278.96,few clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
5,Carbonia,IT,285.93,overcast clouds,39.1672,8.5222,Lu' Hotel
6,Karasjok,NO,273.23,overcast clouds,69.4719,25.5112,Scandic Karasjok
8,Ust-Tsilma,RU,272.33,overcast clouds,65.441,52.1498,Прасковья
13,Bethel,US,282.4,broken clouds,41.3712,-73.414,Hampton Inn Danbury
16,Tasiilaq,GL,271.24,overcast clouds,65.6145,-37.6368,Angmagssalik
17,Tuktoyaktuk,CA,260.15,broken clouds,69.4541,-133.0374,Hunter's B&B
18,Yar-Sale,RU,269.03,overcast clouds,66.8333,70.8333,ЯЛЭМД
19,Port Elizabeth,ZA,293.32,clear sky,-33.918,25.5701,Waterford Hotel
20,Cidreira,BR,290.78,clear sky,-30.1811,-50.2056,Hotel Castelo
25,Bredasdorp,ZA,289.39,clear sky,-34.5322,20.0403,Victoria Hotel
30,Hamilton,US,282.03,clear sky,39.1834,-84.5333,North Vista Manor
31,Lakes Entrance,AU,296.57,broken clouds,-37.8811,147.981,Banjo Patterson Motor Inn
33,Punta Arenas,CL,279.21,broken clouds,-53.15,-70.9167,Hotel Lacolet
36,Hasaki,JP,295.37,clear sky,35.7333,140.8333,大新旅館
37,Cockburn Town,TC,298.64,broken clouds,21.4612,-71.1419,The Salt Raker Inn
38,Porto Novo,BJ,298.87,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
40,Saldanha,ZA,287.18,light rain,-33.0117,17.9442,Hoedjesbaai
41,Antigonish,CA,274.16,overcast clouds,45.6169,-61.9986,Microtel Hotel
43,Jamestown,US,275.95,clear sky,42.097,-79.2353,DoubleTree Jamestown
44,Balatonszabadi,HU,279.77,broken clouds,46.894,18.1374,Slezák resident
45,Mehamn,NO,277.1,clear sky,71.0357,27.8492,Mehamn Arctic hotell
46,Ust-Maya,RU,277.35,overcast clouds,60.4167,134.5333,Ассоль
47,Mar Del Plata,AR,288.76,broken clouds,-38.0023,-57.5575,Nuevo Ostende
51,Wonosobo,ID,297.78,overcast clouds,-7.36,109.9025,Hotel Arjuna
52,Iskateley,RU,270.42,overcast clouds,67.6803,53.1512,Авантаж
53,Nola,IT,288.66,scattered clouds,40.922,14.5329,Pamaran
54,Vaini,TO,297.24,light rain,-21.2,-175.2,Keleti International Resort
55,Bonavista,CA,273.52,broken clouds,48.6499,-53.1147,Harbour Quarters Inn
56,Ruidoso,US,280.13,clear sky,33.3317,-105.673,Hotel Ruidoso
62,Cape Town,ZA,288.21,moderate rain,-33.9258,18.4232,Townhouse Hotel
64,Thohoyandou,ZA,293.77,clear sky,-22.9456,30.485,Khoroni Hotel Casino and Convention Resort
65,Severo-Kurilsk,RU,274.31,overcast clouds,50.6789,156.125,"""Дом рыбака"""
66,Hameenlinna,FI,279.9,light rain,60.996,24.4643,Hotelli Emilia
67,Port Macquarie,AU,293.09,overcast clouds,-31.4333,152.9167,The Observatory
72,Valparaiso,CL,288.71,mist,-33.0393,-71.6273,Ibis Hotel
74,Rosarito,MX,288.85,scattered clouds,32.3333,-117.0333,WorldMark La Paloma
