City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-12-21 20:39:59,-21.2078,-159.775,82.45,89,20,14.97
1,Vardo,NO,2022-12-21 20:39:59,70.3705,31.1107,26.58,93,100,14.97
2,Alice Springs,AU,2022-12-21 20:35:22,-23.7,133.8833,76.55,57,100,10.36
3,Urumqi,CN,2022-12-21 20:36:01,43.801,87.6005,0.55,85,11,4.47
4,Pochutla,MX,2022-12-21 20:40:00,15.7432,-96.4661,84.81,51,0,7.27
5,Mendi,PG,2022-12-21 20:40:01,-6.1761,143.6513,57.06,97,100,2.13
6,Maceio,BR,2022-12-21 20:40:01,-9.6658,-35.7353,83.64,65,20,13.8
7,Rikitea,PF,2022-12-21 20:40:02,-23.1203,-134.9692,77.05,81,96,15.03
8,Qaanaaq,GL,2022-12-21 20:40:03,77.484,-69.3632,-23.73,84,19,6.15
9,College,US,2022-12-21 20:40:03,64.8569,-147.8028,-32.85,60,20,0.0
10,Kiruna,SE,2022-12-21 20:40:04,67.8557,20.2251,11.32,85,100,0.0
11,Petropavlovsk-Kamchatskiy,RU,2022-12-21 20:40:04,53.0452,158.6483,32.59,75,75,13.42
12,Kolpny,RU,2022-12-21 20:40:05,52.2282,37.0368,33.04,96,100,9.71
13,Kodiak,US,2022-12-21 20:40:05,57.79,-152.4072,38.71,93,100,25.32
14,Faanui,PF,2022-12-21 20:40:06,-16.4833,-151.75,81.07,76,100,20.02
15,Ushuaia,AR,2022-12-21 20:40:06,-54.8,-68.3,64.06,55,20,6.91
16,Dikson,RU,2022-12-21 20:40:07,73.5069,80.5464,-27.85,93,100,9.1
17,Tuatapere,NZ,2022-12-21 20:40:07,-46.1333,167.6833,62.55,66,57,2.51
18,Kang,BW,2022-12-21 20:40:08,-23.6752,22.7876,81.93,19,0,5.93
19,Port Alfred,ZA,2022-12-21 20:40:08,-33.5906,26.891,67.17,76,33,5.99
20,Souillac,MU,2022-12-21 20:40:12,-20.5167,57.5167,75.58,78,40,3.44
21,Busselton,AU,2022-12-21 20:40:16,-33.65,115.3333,59.23,78,0,11.99
22,Norman Wells,CA,2022-12-21 20:40:20,65.282,-126.8329,-23.76,69,100,3.44
23,Whitehaven,GB,2022-12-21 20:40:21,54.549,-3.5841,46.65,100,95,8.01
24,Barrow,US,2022-12-21 20:35:24,71.2906,-156.7887,-14.78,84,0,11.5
25,Nelson Bay,AU,2022-12-21 20:40:22,-32.7167,152.15,61.0,93,87,3.0
26,Yulara,AU,2022-12-21 20:40:23,-25.2406,130.9889,79.47,29,100,19.71
27,Boyolangu,ID,2022-12-21 20:40:23,-8.1181,111.8935,76.06,86,100,1.81
28,Kapaa,US,2022-12-21 20:39:53,22.0752,-159.319,79.12,75,0,5.75
29,Vaini,TO,2022-12-21 20:40:24,-21.2,-175.2,84.36,84,20,12.66
30,Tabou,CI,2022-12-21 20:40:25,4.423,-7.3528,79.5,79,83,6.42
31,Butaritari,KI,2022-12-21 20:40:25,3.0707,172.7902,81.45,78,90,17.4
32,Yar-Sale,RU,2022-12-21 20:40:25,66.8333,70.8333,-7.76,90,98,9.73
33,Kalat,PK,2022-12-21 20:40:26,29.0225,66.5916,34.12,46,26,2.73
34,Puerto Ayora,EC,2022-12-21 20:40:26,-0.7393,-90.3518,82.36,90,36,5.01
35,Carnarvon,AU,2022-12-21 20:40:27,-24.8667,113.6333,77.49,59,0,12.06
36,Tasiilaq,GL,2022-12-21 20:40:27,65.6145,-37.6368,17.76,57,5,4.99
37,Saint George,US,2022-12-21 20:35:30,37.1041,-113.5841,52.63,35,0,3.0
38,Nara,JP,2022-12-21 20:40:07,34.6851,135.8049,46.9,69,100,2.13
39,Mezen,RU,2022-12-21 20:40:28,65.8522,44.24,16.11,94,100,10.27
40,Riohacha,CO,2022-12-21 20:40:29,11.5444,-72.9072,89.71,48,20,20.71
41,Mar Del Plata,AR,2022-12-21 20:39:35,-38.0023,-57.5575,77.83,75,0,26.46
42,Abu Kamal,SY,2022-12-21 20:40:29,34.4506,40.9171,58.55,49,100,4.21
43,Zaragoza,ES,2022-12-21 20:39:05,41.6561,-0.8773,57.45,78,0,6.91
44,Chokurdakh,RU,2022-12-21 20:40:30,70.6333,147.9167,-11.07,100,30,1.63
45,Namibe,AO,2022-12-21 20:40:30,-15.1961,12.1522,68.76,71,26,11.74
46,Jumla,NP,2022-12-21 20:40:31,29.2747,82.1838,35.65,29,0,4.81
47,Bredasdorp,ZA,2022-12-21 20:41:31,-34.5322,20.0403,65.75,72,0,8.19
48,Portmore,JM,2022-12-21 20:41:32,17.9702,-76.8672,85.05,74,40,20.71
49,Mukhen,RU,2022-12-21 20:41:32,48.1,136.1,0.9,89,100,2.84
50,Burgeo,CA,2022-12-21 20:41:33,47.6167,-57.6152,28.02,74,5,6.87
51,Hobart,AU,2022-12-21 20:37:50,-42.8794,147.3294,55.26,86,0,10.36
52,Tuktoyaktuk,CA,2022-12-21 20:41:34,69.4541,-133.0374,-13.0,77,75,11.5
53,Ribeira Grande,PT,2022-12-21 20:41:34,38.5167,-28.7,65.77,94,75,24.0
54,Punta Arenas,CL,2022-12-21 20:41:34,-53.15,-70.9167,66.22,67,40,9.22
55,Severo-Kurilsk,RU,2022-12-21 20:41:36,50.6789,156.125,32.94,95,100,29.15
56,Victoria,HK,2022-12-21 20:39:20,22.2855,114.1577,62.26,39,8,13.0
57,Jamestown,US,2022-12-21 20:37:33,42.097,-79.2353,35.24,46,0,0.0
58,Cape Town,ZA,2022-12-21 20:40:00,-33.9258,18.4232,72.1,71,0,9.22
59,Sola,VU,2022-12-21 20:41:37,-13.8833,167.55,82.98,75,51,14.0
60,Tazovskiy,RU,2022-12-21 20:41:38,67.4667,78.7,-15.0,97,99,7.02
61,Lavrentiya,RU,2022-12-21 20:41:38,65.5833,-171.0,10.36,82,5,16.67
62,Huaihua,CN,2022-12-21 20:41:38,27.5494,109.9592,42.91,56,33,0.29
63,Bluff,NZ,2022-12-21 20:41:39,-46.6,168.3333,56.75,76,59,2.86
64,Salalah,OM,2022-12-21 20:41:39,17.0151,54.0924,75.29,57,0,5.75
65,Longyearbyen,SJ,2022-12-21 20:41:40,78.2186,15.6401,10.24,72,75,11.5
66,Cody,US,2022-12-21 20:41:40,44.5263,-109.0565,-14.08,72,100,14.97
67,Ambilobe,MG,2022-12-21 20:41:41,-13.2,49.05,75.74,90,60,0.51
68,Caravelas,BR,2022-12-21 20:41:42,-17.7125,-39.2481,75.16,93,100,4.38
69,Gaillac,FR,2022-12-21 20:41:42,43.9016,1.8969,55.9,85,100,2.08
70,Boende,CD,2022-12-21 20:41:43,-0.2167,20.8667,72.59,85,100,1.25
71,Klyuchi,RU,2022-12-21 20:41:43,52.2667,79.1667,17.67,93,100,17.9
72,Thunder Bay,CA,2022-12-21 20:37:47,48.4001,-89.3168,-5.82,59,75,8.05
73,Camacha,PT,2022-12-21 20:41:44,33.0833,-16.3333,63.82,88,20,3.44
74,Nikolskoye,RU,2022-12-21 20:41:44,59.7035,30.7861,35.49,99,100,8.25
75,Kagoro,NG,2022-12-21 20:41:45,9.6,8.3833,67.08,25,36,7.43
76,New Norfolk,AU,2022-12-21 20:41:45,-42.7826,147.0587,54.9,71,100,2.24
77,Lagoa,PT,2022-12-21 20:41:46,39.05,-27.9833,61.39,89,100,30.22
78,Carinhanha,BR,2022-12-21 20:41:46,-14.3047,-43.765,73.06,89,100,4.76
79,Teguise,ES,2022-12-21 20:41:47,29.0605,-13.564,62.82,59,0,8.05
80,Lebu,CL,2022-12-21 20:41:47,-37.6167,-73.65,65.16,73,71,12.03
81,Luderitz,NA,2022-12-21 20:41:48,-26.6481,15.1594,65.89,86,2,3.6
82,Georgetown,MY,2022-12-21 20:41:48,5.4112,100.3354,80.53,90,20,9.22
83,Sao Filipe,CV,2022-12-21 20:41:49,14.8961,-24.4956,75.85,63,0,14.83
84,Anshun,CN,2022-12-21 20:41:49,26.25,105.9333,42.55,62,99,4.34
85,Poum,NC,2022-12-21 20:41:50,-20.2333,164.0167,77.9,79,82,8.55
86,Mataura,NZ,2022-12-21 20:41:50,-46.1927,168.8643,62.51,62,36,3.87
87,Vila Velha,BR,2022-12-21 20:41:51,-20.3297,-40.2925,78.94,90,75,11.99
88,Araguaina,BR,2022-12-21 20:41:51,-7.1911,-48.2072,79.81,77,97,3.96
89,Cockburn Town,TC,2022-12-21 20:39:07,21.4612,-71.1419,80.56,65,40,11.5
90,Todos Santos,MX,2022-12-21 20:41:52,23.45,-110.2167,84.04,52,0,8.14
91,Sur,OM,2022-12-21 20:42:52,22.5667,59.5289,70.5,57,0,1.88
92,Manta,EC,2022-12-21 20:42:53,-0.95,-80.7333,82.18,65,40,12.66
93,Benemerito De Las Americas,MX,2022-12-21 20:42:53,16.5167,-90.6439,80.98,66,32,1.99
94,Provideniya,RU,2022-12-21 20:42:54,64.3833,-173.3,17.71,62,40,45.01
95,Yellowknife,CA,2022-12-21 20:41:05,62.456,-114.3525,-30.44,68,20,2.3
96,Kibala,TD,2022-12-21 20:42:54,9.1104,18.3463,67.95,77,0,3.44
97,Kamina,CD,2022-12-21 20:42:55,-8.7386,24.9906,64.38,97,100,3.98
98,Hilo,US,2022-12-21 20:42:55,19.7297,-155.09,80.33,67,0,5.99
99,Mount Gambier,AU,2022-12-21 20:42:56,-37.8333,140.7667,63.66,71,37,3.36
100,Arraial Do Cabo,BR,2022-12-21 20:42:56,-22.9661,-42.0278,73.36,94,75,12.66
101,Kigoma,TZ,2022-12-21 20:42:57,-4.8769,29.6267,72.0,84,98,4.09
102,Innisfail,AU,2022-12-21 20:42:57,-17.5333,146.0333,76.68,81,100,10.76
103,Kumluca,TR,2022-12-21 20:42:58,36.3703,30.2869,54.79,54,0,6.02
104,Roald,NO,2022-12-21 20:42:58,62.5833,6.1333,40.08,81,40,4.61
105,Inta,RU,2022-12-21 20:42:58,66.0317,60.1659,-14.03,91,30,12.03
106,Urbana,US,2022-12-21 20:38:58,40.1106,-88.2073,35.76,78,20,8.05
107,Nurota,UZ,2022-12-21 20:42:59,40.5614,65.6886,29.34,90,54,7.2
108,Nantucket,US,2022-12-21 20:41:59,41.2835,-70.0995,42.91,67,75,4.61
109,Kailua,US,2022-12-21 20:39:26,21.4022,-157.7394,81.45,70,5,1.01
110,Kodinsk,RU,2022-12-21 20:43:00,58.6881,99.1844,13.51,98,100,3.58
111,Atuona,PF,2022-12-21 20:43:00,-9.8,-139.0333,78.71,81,15,21.14
112,East London,ZA,2022-12-21 20:43:01,-33.0153,27.9116,66.0,77,14,18.28
113,Hermanus,ZA,2022-12-21 20:43:01,-34.4187,19.2345,70.81,71,0,10.29
114,Albany,US,2022-12-21 20:38:26,42.6001,-73.9662,34.45,71,12,1.63
